ProductID,Product Description,Price(Dollar),Number of reviews,Stock,Sales,Category
90705046,"Upgraded, Anker Soundcore Bluetooth Speaker with IPX5 Waterproof, Stereo Sound, 24H Playtime, Portable Wireless Speaker for iPhone, Samsung and More",27,82773,34,9528,AudioVideo
25373742,"Twelve South AirFly Pro Bluetooth Wireless Audio Transmitter/ Receiver for up to 2 AirPods /Wireless Headphones; Use with any 3.5 mm Audio Jack on Airplanes, Gym Equipment, TVs, iPad/Tablets and Auto",54,5121,4126,5153,AudioVideo
21762722,"iOttie Easy One Touch 5 Dashboard & Windshield Universal Car Mount Phone Holder Desk Stand with Suction Cup Base and Telescopic Arm for iPhone, Samsung, Google, Huawei, Nokia, other Smartphones Black",24,126957,8160,2083,AudioVideo
44891776,"INIU Wireless Charger, 15W Fast Wireless Charging Station with Sleep-Friendly Adaptive Light Compatible with iPhone 14 13 12 Pro XR XS 8 Plus Samsung Galaxy S23 S22 S21 S20 Note 20 10 Google LG etc",15,18837,1863,5253,AudioVideo
54780734,JBL Flip 4 Waterproof Portable Bluetooth Speaker - Blue,78,13141,5291,8270,AudioVideo
60128873,"USB C Charger 20W, Anker 511 Charger ( Nano ), PIQ 3.0 Durable Compact Fast Charger with 6ft USB C to Lightning Cable (MFi Certified) for 14/14 Plus/14 Pro/14 Pro Max/13/ iPad Pro and More",30,11748,1176,8267,AudioVideo
54490868,"Panasonic Portable AM / FM Radio, Battery Operated Analog Radio, AC Powered, Silver (RF-2400D) 22.8 x 7.8 x 10.8",28,26724,699,7749,AudioVideo
40320562,"Belkin MagSafe 3-in-1 Wireless Charging Stand - 2ND GEN w/ 33% Faster Wireless Charging for Apple Watch - iPhone 14, 13 & 12 series & AirPods - MagSafe Charging Station For Multiple Devices - Black",127,5762,1310,1051,AudioVideo
43670257,"Scosche MAGDMB MagicMount Magnetic Car Phone Holder Mount - 360 Degree Adjustable Head, Universal with All Devices - Dashboard Mount",12,33877,6651,9648,AudioVideo
14743341,SAMSUNG 25W USB-C Super Fast Charging Wall Charger - Black (US Version with Warranty),19,8765,7781,4928,AudioVideo
77434904,"Anker 315 Wireless Charger (Pad), 10W Max Fast Charging, Compatible with iPhone 14/13 Series, Samsung S22, AirPods, Samsung Buds, Google Buds, and More (Wall Charger Not Included)",14,1661,4442,8914,AudioVideo
42352586,"Soundcore Anker Motion Boom Outdoor Speaker with Titanium Drivers, BassUp Technology, IPX7 Waterproof, 24H Playtime, App, Built-in Handle, Portable Bluetooth Speaker for Outdoors, Camping",99,7304,1767,1442,AudioVideo
79010397,"Belkin MagSafe Vent Mount Pro - MagSafe Phone Mount For Car - Car Accessories - Car Phone Holder Mount - Magnetic Phone Holder for iPhone 14, iPhone 13, iPhone 12 Pro Max, Pro, and Mini Models",39,7409,4828,5997,AudioVideo
70256549,"Deluxe Products CD Player Portable with 60 Second Anti Skip, Stereo Earbuds, Includes Aux in Cable and AC USB Power Cable for use at Home or in Car",22,4027,4670,1043,AudioVideo
88519805,"Amazon Basics 12W (5V, 2.4A) Car Charger with Lightning Cable (Coiled) for iPhone and Apple Devices, 1.5 ft - Black",10,10101,292,1888,AudioVideo
