ProductID,Product Description,Price(Dollar),Number of reviews,Stock,Sales,Category
60776529,"SAMSUNG EVO Select Micro SD-Memory-Card + Adapter, 256GB microSDXC 130MB/s Full HD & 4K UHD, UHS-I, U3, A2, V30, Expanded Storage for Android Smartphones, Tablets, Nintendo-Switch (MB-ME256KA/AM)",17,53545,7874,8043,Camera
91951502,Fujifilm Instax Mini Instant Film Twin Pack (White),13,114526,6791,1705,Camera
86107635,"DJI Mini 3 Pro (DJI RC)   Lightweight and Foldable Camera Drone with 4K/60fps Video, 48MP Photo, 34-min Flight Time, Tri-Directional Obstacle Sensing, Ideal for Aerial Photography and Social Media",909,5429,9719,5158,Camera
20980719,"SanDisk 256GB Extreme microSDXC UHS-I Memory Card with Adapter - Up to 190MB/s, C10, U3, V30, 4K, 5K, A2, Micro SD Card - SDSQXAV-256G-GN6MA",22,48200,9204,3834,Camera
16313061,"Amazon Basics microSDXC Memory Card with Full Size Adapter, A2, U3, Read Speed up to 100 MB/s, 128 GB, Black/Customized",17,38338,244,1597,Camera
51341854,"WYZE Cam Pan v3 Indoor/Outdoor IP65-Rated 1080p Pan/Tilt/Zoom Wi-Fi Smart Home Security Camera with Motion Tracking for Baby & Pet, Color Night Vision, 2-Way Audio, Works with Alexa & Google Assistant",39,2405,7803,4380,Camera
90563250,"GoPro HERO11 Black - Waterproof Action Camera with 5.3K60 Ultra HD Video, 27MP Photos, 1/1.9"" Image Sensor, Live Streaming, Webcam, Stabilization",399,570,1431,3389,Camera
59304217,"SanDisk 128GB Extreme PRO SDXC UHS-I Memory Card - C10, U3, V30, 4K UHD, SD Card - SDSDXXD-128G-GN4IN",21,14772,2013,2705,Camera
29744386,"WYZE Cam OG 1080p HD Wi-Fi Security Camera - Indoor/Outdoor, Color Night Vision, Spotlight, 2-Way Audio, Cloud & Local storage- Ideal for Home Security, Baby, Pet Monitoring - Alexa & Google Assistant",29,1115,6558,3817,Camera
20861879,"Kasa Indoor Pan/Tilt Smart Security Camera, 1080p HD Dog Camera 2.4GHz with Night Vision, Motion Detection for Baby and Pet Monitor, Cloud & SD Card Storage, Works with Alexa & Google Home (EC70)",29,15499,9657,8586,Camera
13974263,"SanDisk 128GB Ultra microSDXC UHS-I Memory Card with Adapter - Up to 140MB/s, C10, U1, Full HD, A1, MicroSD Card - SDSQUAB-128G-GN6MA",12,122463,4914,8280,Camera
24967253,"Kodak Ultramax 400 Color Print Film 36 Exp. 35mm DX 400 135-36 (108 Pics) (Pack of 3), Basic",37,3168,7486,5837,Camera
