ProductID,Product Description,Price(Dollar),Number of reviews,Stock,Sales,Category
93096044,"OnePlus Pad 11.61"" LCD Display, 8GB RAM,128GB Storage, MediaTek Dimensity 9000, Android 13.1, 144HZ Refresh Rate, Dolby Vision Atmos, Wi-Fi with Cellular Data Sharing Tablet",479,90,5580,6486,Laptop
68453156,"ASUS ROG Strix G16 (2023) Gaming Laptop, 16  16:10 FHD 165Hz, GeForce RTX 4060, Intel Core i7-13650HX, 16GB DDR5, 512GB PCIe SSD, Wi-Fi 6E, Windows 11, G614JV-AS73, Eclipse Gray",1329,3153,3137,5227,Laptop
88005122,"Lenovo 2022 Newest Ideapad 3 Laptop, 15.6"" HD Touchscreen, 11th Gen Intel Core i3-1115G4 Processor, 8GB DDR4 RAM, 256GB PCIe NVMe SSD, HDMI, Webcam, Wi-Fi 5, Bluetooth, Windows 11 Home, Almond",420,2303,5830,2938,Laptop
16470566,"SAMSUNG Galaxy Tab S6 Lite 10.4"" 64GB Android Tablet, S Pen Included, Slim Metal Design, AKG Dual Speakers, Long Lasting Battery, US Version, 2020, Oxford Gray",249,2324,1495,2232,Laptop
87780821,"CyberpowerPC Gamer Xtreme VR Gaming PC, Intel Core i7-12700F 2.1GHz, GeForce RTX 3060 12GB, 16GB DDR4, 1TB NVMe SSD, WiFi & Win 11 Home (GXiVR8040A12), Black",1169,1563,5260,207,Laptop
63257777,"ASUS TUF Gaming F15 Gaming Laptop, 15.6  144Hz FHD Display, Intel Core i5-11400H Processor, GeForce RTX 2050, 8GB DDR4 RAM, 512GB PCIe SSD Gen 3, Wi-Fi 6, Windows 11, FX506HF-ES51",699,15471,2589,5133,Laptop
95101704,"SAMSUNG Galaxy Tab A8 10.5  32GB Android Tablet, LCD Screen, Kids Content, Smart Switch, Long Lasting Battery, US Version, 2022, Dark Gray",199,242,1706,5447,Laptop
89975570,"Dell 2022 Newest Inspiron 15 Laptop, 15.6"" HD Display, Intel Celeron N4020 Processor, 16GB DDR4 RAM, 1TB PCIe SSD, Webcam, HDMI, Wi-Fi, Bluetooth, Windows 11 Home, Black",392,14584,3325,6311,Laptop
47446383,"SAMSUNG Galaxy Tab A7 Lite 8.7"" 32GB WiFi Android Tablet, Compact, Slim Design, Kid Friendly, Sturdy Metal Frame, Long Lasting Battery, US Version, 2021, Silver",158,1852,5624,7784,Laptop
95718975,"MSI Thin GF63 15.6"" 144Hz Gaming Laptop: 12th Gen Intel Core i7, NVIDIA GeForce RTX 4050, 16GB DDR4, 512GB NVMe SSD, Type-C, Cooler Boost 5, Win11 Home: Black 12VE-066US",999,616,1445,243,Laptop
84012055,"Acer Aspire Vero AV15-51-7617 Green PC | 15.6"" FHD IPS 100% sRGB-Display | 11th Gen Intel Core i7-1195G7 | Intel Iris Xe Graphics | 16GB DDR4 | 512GB NVMe SSD | Wi-Fi 6 | PCR Materials | Vero-Sleeve",699,212,255,7170,Laptop
14522645,"Samsung Chromebook 4 (2021 Model) 11.6"" Intel UHD Graphics 600, Intel Celeron Processor N4020, 4GB, 16GB- Wi-Fi - Satin Gray- (XE310XBA-KB1US)",167,752,9387,5279,Laptop
77710422,"Lenovo IdeaPad Gaming 3 - (2022) - Essential Gaming Laptop Computer - 15.6"" FHD - 120Hz - AMD Ryzen 5 6600H - NVIDIA GeForce RTX 3050 - 8GB DDR5 RAM - 256GB NVMe Storage - Windows 11 Home",686,1015,4328,4144,Laptop
36382913,"Lenovo - 2022 - IdeaPad Flex 5i - 2-in-1 Chromebook Laptop Computer - Intel Core i3-1115G4 - 13.3"" FHD Touch Display - 8GB Memory - 128GB Storage - Chrome OS",373,560,6268,921,Laptop
90857372,"ASUS ROG Strix G16 (2023) Gaming Laptop, 16  16:10 FHD 165Hz, GeForce RTX 4070, Intel Core i9-13980HX, 16GB DDR5, 1TB PCIe SSD, Wi-Fi 6E, Windows 11, G614JI-AS94, Eclipse Gray",1999,688,3326,2454,Laptop
26768263,Acer Aspire TC-1760-UA92 Desktop | 12th Gen Intel Core i5-12400 6-Core Processor | 12GB 3200MHz DDR4 | 512GB NVMe M.2 SSD | 8X DVD | Intel Wireless Wi-Fi 6 AX201 | Bluetooth 5.2 | Windows 11 Home,619,118,7715,885,Laptop
38446197,"HP 2023 15'' HD IPS Laptop, Windows 11, Intel Pentium 4-Core Processor Up to 2.70GHz, 8GB RAM, 128GB SSD, HDMI, Super-Fast 6th Gen WiFi, Dale Red (Renewed)",285,14449,2984,3075,Laptop
71503804,"SAMSUNG Galaxy Tab S7+ Plus 12.4  128GB Android Tablet w/ S Pen Included, Edge-to-Edge Display, Expandable Storage, Fast Charging USB-C Port, SM-T970NZKAXAR, Mystic Black",699,356,4816,7308,Laptop
26257943,"Lenovo - 2022 - IdeaPad 3i - Essential Laptop Computer - Intel Core i5 12th Gen - 15.6"" FHD Display - 8GB Memory - 512GB Storage - Windows 11 Pro",549,2527,6688,1770,Laptop
99366586,"Acer Nitro 5 AN515-58-525P Gaming Laptop | Intel Core i5-12500H | NVIDIA GeForce RTX 3050 Laptop GPU | 15.6"" FHD 144Hz IPS Display | 8GB DDR4 | 512GB PCIe Gen 4 SSD | Killer Wi-Fi 6 | Backlit Keyboard",776,1117,5036,8638,Laptop
60085471,"ASUS TUF Dash 15 (2022) Gaming Laptop, 15.6"" 144Hz FHD Display, Intel Core i7-12650H, GeForce RTX 3060, 16GB DDR5, 512GB SSD, Thunderbolt 4, Windows 11 Home, Off Black, FX517ZM-AS73",1129,329,9496,4548,Laptop
92900226,"Lenovo Tab M10 Plus (3rd Gen) - 2022 - Long Battery Life - 10"" FHD - Front & Rear 8MP Camera - 4GB Memory - upto128GB Storage - Android 12 or Later",158,5161,4696,9783,Laptop
71108219,"SAMSUNG Galaxy Tab S7 FE 12.4  256GB WiFi Android Tablet, Large Screen, S Pen Included, Multi Device Connectivity, Long Lasting Battery, US Version, 2021, Mystic Black",559,215,5872,1672,Laptop
