ProductID,Product Description,Price(Dollar),Number of reviews,Stock,Sales,Category
67141405,"Vertx Cutback Mens Tactical Shorts 11 inches, Multifunctional Tactical Work Clothing Gear, Quick Dry, Casual Short for Police, Security, Law Enforcement, Outdoor, Exhaust, 36 Waist",62,2,7123,8544,Men
27046339,"Storelli Jumper Socks by Floky, Biomechanical Socks for Basketball and Volleyball, Improve Performance, Protect Against Injuries, Speed up Recovery",49,1652,4492,9173,Men
10058477,"Storelli Re-Charge Recovery Socks by Floky, Biomechanical Socks for Post-Training and Competition Recovery, Improve Performance, Protect Against Injuries, Speed up Recovery",49,259463,5727,9438,Men
75377643,Nike Men's Dri-Fit Training Cotton Cushioned Crew Socks (6 Pair),25,52469,5787,6815,Men
71663487,"Gildan Men's Crew T-Shirts, Multipack, Style G1100",42,27762,1457,4236,Men
61006472,"Fruit of the Loom Men's Eversoft Cotton Short Sleeve Pocket T-Shirts, Breathable & Tag Free",18,145395,5632,6909,Men
67168212,PUMA Men's 8 Pack Low Cut Socks,21,60541,914,8142,Men
96344427,"Hanes Boxer Briefs, Cool Dri Moisture-Wicking Underwear, Cotton No-Ride-up for Men, Multi-Packs Available",10,100855,4849,8158,Men
79338280,Under Armour Men's Tech Graphic Shorts,18,42427,4209,5636,Men
17764704,Fruit of the Loom Men's Eversoft Cotton Stay Tucked Crew T-Shirt,14,202977,7022,2959,Men
87794483,Fruit of the Loom Men's Tag-Free Tank A-Shirt,18,74242,2795,8786,Men
41498952,Dickies Men's Dri-tech Moisture Control Crew Socks Multipack,18,197129,1398,9912,Men
71509689,Dickies Men's Dri-Tech Moisture Control Quarter Socks Multi-Pack,20,9375,7099,7335,Men
26652972,Fruit of the Loom Men's Coolzone Boxer Briefs (Assorted Colors),14,121646,4630,519,Men
10764663,"Amazon Essentials Men's Performance Cotton Cushioned Athletic No-Show Socks, 6 Pairs",24,4,6877,2659,Men
42520082,"Gildan Men's V-neck T-shirts, Multipack, Style G1103",17,1215,9097,7876,Men
80058509,Fair Indigo Men's Organic All-Cotton V-Neck Cardigan Sweater,18,12,7043,9103,Men
55243067,Fair Indigo Men's Organic All-Cotton Luxe Henley Shirt,49,26593,2658,9050,Men
43224353,Holloway Men's 229545,49,7983,8339,8025,Men
25806466,Joseph Abboud mens Woven Sleep Pajama Lounge Pants,38,99521,8497,56,Men
89613261,"Fruit of the Loom Men's Tag-Free Boxer Shorts (Knit & Woven), Large",21,14654,4754,6430,Men
54966727,FROGG TOGGS Ultra-lite2 Waterproof Breathable Poncho,12,54908,9527,7697,Men
22473844,Hanes Mens Tagless Boxer With Exposed Waistband Multi-Packs,23,16518,162,2156,Men
71314340,Nike Everyday Cushion Ankle Training Socks (3 Pair),14,2619,7518,3047,Men
38055605,Saucony Men's Multi-Pack Mesh Ventilating Comfort Fit Performance No-Show Socks,18,22162,1578,2807,Men
81523875,Hanes Men's Total Support Pouch Boxer Brief,34,17985,6397,7060,Men
59106921,"Nike Men's Bag Cotton Quarter Cut Socks (6 Pack) (Large (shoe size 8-12), White)",9,110686,7659,6765,Men
90264968,Hanes mens Double Tough Ankle Socks,21,33024,5880,6043,Men
56210492,"Hanes Men's Pocket T-Shirt Pack, Cotton Crewneck Pocket Tees 6-Pack",18,9777,6012,2698,Men
77370488,"Gildan Men's A-Shirt Tanks, Multipack, Style G1104",20,12,3445,5070,Men
66833054,"Hanes Men's Boxers 5-Pack, Cotton Knit Comfortable Boxer Underwear, Moisture-Wicking Cotton Boxers Multipack",24,7,111,627,Men
67766655,"Under Armour Adult Resistor 3.0 No Show Socks, Multipairs",46,721,5918,8365,Men
42236637,Under Armour Men's Playoff Polo 3.0,34,26594,4364,9378,Men
13273219,Joseph Abboud mens Sleep Pajama Lounge Pants,21,11112,9782,7162,Men
43040088,"X RAY Crewneck Sweater for Men Slim Fit Ultra Soft Fitted Pullover Mens Sweaters, Regular or Big & Tall Sizes",28,45083,3298,2473,Men
83834735,Fruit of the Loom Men's Tag-Free Boxer Shorts (Knit & Woven),14,14548,1350,8945,Men
84576650,Under Armour Men's Tech 6-inch Boxerjock 2-Pack,9,30563,6507,674,Men
71462954,"Hanes Men's Double Tough Crew Socks, 12-Pair Pack",30,12528,3575,6495,Men
19684960,Copper Fit Energy Unisex Easy-On/Easy-Off Knee High Compression Socks,11,27406,4408,4183,Men
86405157,Under Armour Men's Tech 2.0 1/2 Zip,21,6393,3998,9895,Men
13551396,4-Pairs Arm Sleeves for Men and Women - Tattoo Cover Up - Cooling Sports Sleeve for Basketball Golf Football,18,32395,8953,5748,Men
75421746,"Hanes Men's Underwear Boxer Briefs Pack, Cotton ComfortSoft Boxer Brief for Men, Moisture-Wicking Breathable, Multipack",38,79927,9585,5445,Men
45252063,"Hanes Total Support Pouch Men's Boxer Briefs Pack, Anti-Chafing, Moisture-Wicking Underwear, Odor Control (Reg or Long Leg)",34,16546,8491,151,Men
49151065,"Amazon Essentials Men's Crewneck Undershirt, Pack of 6",24,36511,5708,7377,Men
88010721,"Gildan Adult Heavy Cotton T-Shirt, Style G5000, Multipack",16,14281,1019,2280,Men
88177179,"Under Armour Performance Tech No Show Socks, Multipairs",12,3673,6152,275,Men
94041462,Hanes Men's Tagless White Briefs with ComfortFlex Waistband-Multiple Packs Available,21,2834,776,280,Men
55773787,Dickies Men's Dri-tech Moisture Control No Show Socks (6 & 12 Pairs),26,40024,9903,4835,Men
