ProductID,Product Description,Price(Dollar),Number of reviews,Stock,Sales,Category
98577029,PS PAUL SMITH Men's Bayard Shoe Oxford,295,2,5341,9577,MenShoes
81943900,PS Paul Smith Men's Dover Sneaker,295,406442,5390,9758,MenShoes
29081656,PS Paul Smith Men's Shoe Kibby Black Sneaker,225,22572,8225,2479,MenShoes
45021342,PS Paul Smith Men's Shoe Dover White Sneaker,295,43000,2420,7930,MenShoes
64155091,Crocs Unisex-Adult Classic Clog,26,66744,4374,5406,MenShoes
93952967,OOFOS - Unisex OOahh Sport - Post Run Recovery Slide Sandal,59,43963,2538,9617,MenShoes
50372649,Crocs unisex-adult Classic Realtree Clog,29,77005,4210,1525,MenShoes
68034087,Under Armour Men's Ignite Vi Slide Sandal,23,20162,1195,4305,MenShoes
65766205,Under Armour Men's Charged Assert 9 Running Shoe,49,21217,801,4216,MenShoes
89526349,Crocs Unisex-Adult Classic Clogs (Best Sellers),29,4430,3514,3319,MenShoes
81371636,Crocs Unisex Offroad Sport Clogs,29,40930,3029,9229,MenShoes
22361290,Crocs Men's Yukon Vista Clog,30,8307,114,1811,MenShoes
32566384,"Crocs unisex adult Classic (Best Sellers) Clog, Slate Grey, 13 Women 11 Men US",27,4678,7251,1208,MenShoes
60622779,Reef Men's Fanning Flip-Flop,39,1944,8666,1679,MenShoes
83910629,adidas Unisex-Adult Adilette Clog Slide Sandal,40,12,6587,4673,MenShoes
16877958,"Crocs Unisex-Adult Classic Clogs (Best Sellers), Lemon, 6 Men/8 Women",24,2,4309,5216,MenShoes
64974542,Clarks Bushacre3 Mens Boot,59,17671,8363,4718,MenShoes
20083014,Under Armour Men's Charged Assert 10 Running Shoe,74,11228,384,832,MenShoes
30237835,"Solid Gear SGUS80006 Hydra GTX BOA  Safety Shoe, Size 12",231,492,5601,1821,MenShoes
44044938,Reef Men's Phantoms Flip-Flop,27,8406,4780,9992,MenShoes
21362718,"OluKai Ohana Men's Beach Sandals, Quick-Dry Flip-Flop Slides, Water Resistant & Lightweight, Compression Molded Footbed & Ultra-Soft Comfort Fit",70,25026,7920,5986,MenShoes
54977662,"Crocs Unisex LiteRide 360 Clogs, Black/Slate Grey, 9 Men/11 Women",39,3134,2656,7802,MenShoes
73053347,TEVA Men's Hurricane Xlt2 Sandals with EVA Foam Midsole and Rugged Durabrasion Rubber Outsole,74,139220,2437,9487,MenShoes
64714721,Skechers Men's Cessnock Food Service Shoe,64,25074,7036,776,MenShoes
57630019,Crocs Men's Literide 360 Pacer Sneaker,33,2114,7749,3150,MenShoes
93812213,Crocs Men's and Women's Crocband Clog,24,81458,2344,9793,MenShoes
47868884,adidas Men's Lite Racer Adapt 3.0 Wide Running Shoe,30,7597,5197,9376,MenShoes
41748373,Crocs mens Yukon Vista Ii Clogs,24,18019,8695,5642,MenShoes
68608132,Crocs Unisex-Adult Classic Tie Dye Clogs,29,27,8192,8518,MenShoes
78096957,Reef Men's Twinpin Sandals,41,5,1932,4670,MenShoes
25224825,Crocs Unisex-Adult Classic Graphic Clogs,141,604,1297,2412,MenShoes
17749866,Vince Camuto Men's Lyre Dress Shoe Oxford,67,5731,4199,4405,MenShoes
57449885,BASS OUTDOOR Men's Aqua Mesh Slide Water Shoe,55,3057,8616,5258,MenShoes
62909549,"Shoes for Crews Stride, Men s Non Slip Athletic Work Shoes",60,3466,2936,5950,MenShoes
23640993,Dr. Scholl's Shoes Men's Gaston,49,14492,6391,2098,MenShoes
48534111,Salomon Men's Speedcross 5 GORE-TEX Trail Running Shoes,19,14248,9766,3449,MenShoes
42208416,Crocs mens Swiftwater Mesh Deck Sandals,64,9393,4411,4618,MenShoes
66073665,Quiksilver Men's Carver Suede 3 Point Flip Flop Athletic Sandal,34,4212,953,8205,MenShoes
61624737,Cole Haan Men's Grand Crosscourt II Sneakers,48,43461,2271,4080,MenShoes
58271281,Reef Men's Cushion Phantom Flip-Flop,31,2730,604,6184,MenShoes
43560773,Teva Men's Forebay Sandal,100,27937,4864,2672,MenShoes
28861330,Nike Men's Benassi Just Do It Athletic Sandal,59,12479,236,235,MenShoes
