ProductID,Product Description,Price(Dollar),Number of reviews,Stock,Sales,Category
72134196,AIR,5,1152,5930,5133,Movies
75235037,Three Thousand Years of Longing,5,7841,3462,5331,Movies
98883061,Violent Night,5,9034,1933,2134,Movies
27549561,Top Gun: Maverick,5,96299,5768,6304,Movies
15669390,She Said,24,1679,9055,8841,Movies
34872921,The Super Mario Bros. Movie,49,3236,9159,9459,Movies
21365004,Chucky 7-Movie Collection,3,40291,6693,8108,Movies
32067186,The Accountant,3,49072,7861,9415,Movies
99048049,Jurassic World Dominion,19,1726,7951,6897,Movies
91068134,John Wick: Chapter 4 - Bonus X-Ray Edition,13,32,4411,5211,Movies
16405181,Medellan,5,91,8491,8478,Movies
21700001,Haunted Trail,16,2930,1747,7626,Movies
79419509,Dungeons & Dragons: Honor Among Thieves,3,32566,7382,1978,Movies
91617335,Pitch Perfect 2,3,19859,4921,6021,Movies
89687592,Rio,14,22,7805,217,Movies
36219964,Monumental: Ellie Goulding at Kew Gardens,17,209,131,7595,Movies
70681597,Banksy Most Wanted [DVD],12,102122,6520,2181,Movies
59834861,John Wick,12,9157,2621,5668,Movies
86452048,Safe House,12,366,1857,9993,Movies
49523587,The Insanity of God,12,1206,4728,4584,Movies
14312491,Tremors: 7-Movie Collection [DVD],12,2104,1100,7175,Movies
30651156,Dragonheart: 5-Movie Collection [DVD],12,2104,6160,2138,Movies
42964294,Ticket to Paradise,5,15296,2274,3225,Movies
48515003,John Wick 3 - Parabellum,3,64987,5516,4300,Movies
74007589,Just Go With It,3,18119,9032,506,Movies
34008114,The Magnificent Seven,3,24878,5076,6350,Movies
29982403,Sonic the Hedgehog 2,3,25485,9863,4403,Movies
37667906,Identity Thief,19,16596,6133,4858,Movies
84675028,John Wick: Chapter 4,2,1726,2063,387,Movies
87666644,Valerian and the City of a Thousand Planets,3,22840,5477,1141,Movies
86051156,The Rundown,49,7645,9155,1724,Movies
68231520,The Tomorrow War,13,33243,3922,470,Movies
46722319,Chucky 7-Movie Collection,3,91,6750,4071,Movies
42683491,Haunted Trail,3,16394,7481,5628,Movies
64638174,Game Night,3,34488,2998,7848,Movies
78138679,The Peanut Butter Falcon,3,34705,6114,5489,Movies
74577553,Transformers: Age Of Extinction,14,4556,7397,4522,Movies
10053646,The Adventures of Elmo in Grouchland,17,83636,6841,4820,Movies
30924922,The Wolf of Wall Street,17,75940,7921,6969,Movies
53936816,Wrath of Man,17,366,2185,2743,Movies
14705762,The Insanity of God,17,589,4727,7386,Movies
59598150,The Purge: 5-Movie Collection,17,589,6541,4495,Movies
71776154,Nope,3,21355,9910,6246,Movies
61210285,The Lost City,3,38272,6095,5229,Movies
71117185,Spider-Man: Into the Spider-Verse,3,57329,2585,1219,Movies
48028914,Madagascar,3,11544,9304,100,Movies
77076290,Guy Ritchie's The Covenant,19,850,2788,9416,Movies
54405252,On a Wing and a Prayer,3,877,2433,2987,Movies
97466076,The Angriest Man in Brooklyn,3,2115,5571,8046,Movies
79226150,Smile,4,6441,619,4632,Movies
77504116,3 Days to Kill,49,5588,4366,6416,Movies
32883714,Couples Retreat,13,12622,7954,3556,Movies
50749173,Chucky 7-Movie Collection,5,91,7961,8205,Movies
49182077,Haunted Trail,3,1554,9786,4091,Movies
35502001,Just Getting Started,3,4215,8974,9316,Movies
92524132,65,14,8523,6484,1258,Movies
40146147,Beast,16,19202,3821,7775,Movies
64432750,Blacklight,16,15452,9510,3542,Movies
94925334,Ender's Game,16,4412,3965,9590,Movies
53176533,Safe,16,366,3679,9564,Movies
46190585,The Insanity of God,16,209,224,7354,Movies
32970738,Banksy Most Wanted [DVD],16,209,4707,4883,Movies
62953458,No Time to Die,5,70994,2717,7658,Movies
51884550,Motherly,2,566,7604,8803,Movies
80710639,Shotgun Wedding,3,3326,9261,5736,Movies
65892902,Mamma Mia!,3,27388,8702,9176,Movies
79809500,Memory,3,10090,9701,9332,Movies
62478466,Rise: Blood Hunter,3,777,5715,3976,Movies
41448888,Top Gun,2,5968,141,4263,Movies
68526937,A Simple Favour,49,9551,1,9176,Movies
26882710,Samaritan,13,3263,4877,8956,Movies
67744952,Becoming Evil: Serial Killers of the Old West,3,18,6354,181,Movies
25489244,Chucky 7-Movie Collection,3,91,6098,6491,Movies
79083355,Haunted Trail,3,31551,7790,8917,Movies
44285275,The Black Phone,14,848,2810,9452,Movies
71043914,Hotel Transylvania 4: Transformania,16,6824,6034,421,Movies
25464089,Madagascar 3: Europe's Most Wanted,16,4511,2556,5126,Movies
59330543,Joy,16,14867,9813,966,Movies
36723857,Ambulance,16,59037,3537,2108,Movies
51681542,News of the World,16,366,3451,1291,Movies
18771870,The Insanity of God,16,209,9383,3055,Movies
15418931,Banksy Most Wanted [DVD],16,209,2331,9314,Movies
95020197,Terminator Genisys,3,28142,7703,1152,Movies
15473663,Grown Ups 2,19,1057,5176,4031,Movies
18840417,Avatar: The Way of Water,3,15384,6152,7476,Movies
80177326,Braven,5,5915,516,4310,Movies
17453884,Creed III,5,6374,7615,3325,Movies
57205152,Dog,3,66759,3649,7416,Movies
55599239,Cloudy with a Chance of Meatballs,19,7017,1990,9000,Movies
86120951,Hypnotic,3,32,1767,186,Movies
64041551,Titanic,5,49426,9696,1007,Movies
31161938,The Pope's Exorcist,49,1334,8741,5099,Movies
33550670,Chucky 7-Movie Collection,13,91,2088,7712,Movies
67522339,Haunted Trail,3,10952,7057,6834,Movies
79589389,Cloudy with a Chance of Meatballs 2,3,172,8487,7154,Movies
77515420,Date Night,5,4286,7455,3855,Movies
78986647,Clifford the Big Red Dog,3,1650,6739,3799,Movies
82543385,The Addams Family 2,5,9280,3647,3142,Movies
65191787,Meet Joe Black,14,322,7296,6087,Movies
50367731,Shazam! Fury of the Gods,16,366,7153,6731,Movies
47226946,The Insanity of God,16,209,9634,3889,Movies
41683760,Banksy Most Wanted [DVD],16,209,3769,2725,Movies
83076234,Sweet Pecan Summer,2,36,4342,5340,Movies
57757693,Scream VI,5,526,6062,7714,Movies
20899832,Plan A,1,434,3648,7329,Movies
70520408,Haywire,3,3345,6945,6488,Movies
22302595,Spy,5,18861,4039,8108,Movies
32166206,Tom Clancy's Without Remorse,13,21356,4939,2140,Movies
12701774,Space Jam,49,19935,8268,9713,Movies
13210572,Boon,4,1779,7475,640,Movies
54471124,Halloween Ends,3,2214,7594,4752,Movies
35565480,Land,3,12333,2195,3071,Movies
38651695,Haunted Trail,14,91,7715,606,Movies
85698811,Chucky 7-Movie Collection,17,2354,6571,964,Movies
59692456,Ghost Town,17,3905,4762,3222,Movies
61395776,Greater,17,143,7326,4745,Movies
37366052,Forgetting Sarah Marshall (Unrated),17,14995,8091,772,Movies
88399730,Whiplash,17,186,9980,9710,Movies
49502335,Rumble,17,7196,271,8988,Movies
13772104,Jeepers Creepers,17,366,3021,6088,Movies
40268186,The Insanity of God,17,468,4357,5840,Movies
56294119,God's Country,17,468,6420,5557,Movies
82129070,Beauty and the Billionaire,3,1206,3549,3428,Movies
42931384,Moneyball,5,12079,9312,4601,Movies
42928353,Forrest Gump,19,39026,8366,1211,Movies
69878339,80 For Brady,3,3468,404,3092,Movies
43186878,The Girl Who Believes In Miracles,19,8136,6275,8418,Movies
54124681,Evil Dead Rise,0,910,7429,1981,Movies
75757382,Mrs. Harris Goes to Paris,13,7007,2225,5691,Movies
36034511,Turbo,49,7250,466,2629,Movies
34917512,Sisu,3,402,5413,3830,Movies
50236782,Yellow Bird,2,89,4008,6124,Movies
95501547,Haunted Trail,2,91,1340,8527,Movies
14667831,Chucky 7-Movie Collection,3,23020,6680,3086,Movies
86622494,The Northman,14,1,5285,5200,Movies
19299009,Global Meltdown,49,9966,6135,7328,Movies
96606486,Leap!,49,545,2922,2054,Movies
26064147,Before the Fire,49,11483,153,4784,Movies
23054932,Liar Liar,49,420,6201,6362,Movies
10177622,Die Hart,49,366,2493,3669,Movies
89137550,The Insanity of God,49,94,3546,4583,Movies
32955484,Mystery Classics 100 Movie Pack [DVD],49,94,7047,6545,Movies
86227785,THE HUNGER GAMES,3,59815,7875,3464,Movies
37262077,Wild Oats,3,1134,183,7647,Movies
55535561,The People We Hate At The Wedding,3,1102,1519,3924,Movies
50587962,Burnt,13,6561,7413,7271,Movies
33681582,Leap Year,49,11946,5068,1814,Movies
54110865,Teenage Mutant Ninja Turtles,2,19223,5114,7910,Movies
61390717,Blue Crush,3,2829,1429,530,Movies
