ProductID,Product Description,Price(Dollar),Number of reviews,Stock,Sales,Category
85544194,"Spider-Man Marvel Legends Series Across The Spider-Verse Spider-Punk 6-inch Action Figure Toy, 1 Accessory",24,71,8747,2692,Toys
62162447,"Spider-Man Marvel Legends Series Across The Spider-Verse Miles Morales 6-inch Action Figure Toy, 3 Accessories",22,55,6261,1598,Toys
24070242,Fisher-Price Little People Musical Toddler Toy Serve It Up Food Truck Vehicle With 2 Figures For Pretend Play  1+ Years,7,2895,2676,8064,Toys
43545443,"CatToysOfficial - CAT Little Machines 5pcs Construction Toy Vehicles Playset for Kids  3 and up - Dump Truck, Wheel Loader, Bulldozer, Backhoe, and Excavator",5,2530,4529,7537,Toys
22159188,"Spider-Man Marvel Legends Series Across The Spider-Verse 2099 6-inch Action Figure Toy, 2 Accessories",22,40,2184,7968,Toys
53115760,"Hot Wheels Toy Car Track Set City Ultimate Octo Car Wash & Color Reveal Car in 1:64 Scale, Color Change in Very Warm & Icy Cold Water",42,1434,8916,7387,Toys
76805088,"Marvel Legends Series Photon, The 6-Inch Collectible Action Figures, Toys for  4 and Up",24,278,4392,9656,Toys
91402927,"Marvel Legends Series Comics Commander Rogers 6-Inch Collectible Action Figures, Toys for  4 and Up",24,663,98,2302,Toys
19993641,Fisher-Price Disney Frozen Toddler Toys Little People Snowflake Village Playset With Anna Elsa & Olaf Figures For  18+ Months,11,41,7900,7694,Toys
84462617,Pokemon Charizard Deluxe Feature Figure - Includes 7-inch Interactive Plus 2-inch Pikachu with Launcher Authentic Details,14,88,403,788,Toys
97427416,"Spider-Man Marvel Legends Series Across The Spider-Verse Spider-Gwen 6-inch Action Figure Toy, 4 Accessories",22,382,4248,5319,Toys
58648511,"Marvel Legends Series Comics Karnak 6-Inch Collectible Action Figures, Toys for  4 and Up",24,1094,8516,256,Toys
85254585,Lil Woodzeez - Animal Figurine Playset   Toy General Store   Mini Furniture & Play Food   Storybook Included   3 Years +,29,61,9814,9569,Toys
10192294,"Hatchimals CollEGGtibles, Transforming Rainbow-Cation Camper Toy Car with 6 Exclusive Characters, 10 Accessories, Kids Toys for Girls  5 and up",29,3687,7271,3004,Toys
80279431,"Schleich Wild Life, Wild Animal Toys for Kids, Playset with Jeep Truck, Ranger, and Chimpanzee Toy,  3+",42,6800,6219,1525,Toys
42590907,The Super Mario Bros. Movie 7-Inch Feature Bowser Action Figure with Fire Breathing Effects,29,12663,1604,5841,Toys
14835541,"Marvel Legends Series Captain, The 6-Inch Collectible Action Figures, Toys for  4 and Up",24,2639,9007,1477,Toys
43272426,"Gabby's Dollhouse, Deluxe Figure Gift Set with 7 Toy Figures and Surprise Accessory, Kids Toys for  3 and up",22,579,2126,6668,Toys
